elvish,english
aranel,PRINCESS
aranel,Princess
aranië,kingdom
aranië,KINGDOM
aranië,Kingdom
túrindië,*kingdom
túrindië,*KINGDOM
túrinasta,*kingdom
túrinasta,*KINGDOM
aranus(së),kingship
aranus(së),KINGSHIP
aranus(së),Kingship
aranya,*royal
aranya,*ROYAL
arata,high
arata,HIGH
arata,High
arata,noble
arata,NOBLE
arata,Noble
arata,exalted
arata,EXALTED
arata,Exalted
arata,lofty
arata,LOFTY
arata,Lofty
arta²,high
arta²,HIGH
arta²,High
arta²,noble
arta²,NOBLE
arta²,Noble
arta²,exalted
arta²,EXALTED
arta²,Exalted
arta²,lofty
arta²,LOFTY
arta²,Lofty
aráto,champion
aráto,CHAMPION
aráto,Champion
aráto,eminent man
aráto,EMINENT MAN
aráto,Eminent man
aráto,noble
aráto,NOBLE
aráto,Noble
aráto,lord
aráto,LORD
aráto,Lord
aráto,king
aráto,KING
aráto,King
arcandë,*petition
arcandë,*PETITION
arcas,crown
arcas,CROWN
arcas,Crown
arda,region
arda,REGION
arda,Region
arda,realm
arda,REALM
arda,Realm
arda,particular land
arda,PARTICULAR LAND
arda,Particular land
arda,region
arda,REGION
arda,Region
árë,sunlight
árë,SUNLIGHT
árë,Sunlight
árë,warmth (especially of the sun); day
árë,WARMTH (ESPECIALLY OF THE SUN); DAY
árë,Warmth (especially of the sun); day
árë nuquerna,árë-reversed
árë nuquerna,ÁRË-REVERSED
árë nuquerna,Árë-reversed
arimaitë,skilful
arimaitë,SKILFUL
arimaitë,Skilful
arma,ray of sunlight
arma,RAY OF SUNLIGHT
arma,Ray of sunlight
armaro,*neighbor
armaro,*NEIGHBOR
asambar(o),*neighbor
asambar(o),*NEIGHBOR
arpo,seizer
arpo,SEIZER
arpo,Seizer
arpo,thief
arpo,THIEF
arpo,Thief
arquen,noble
arquen,NOBLE
arquen,Noble
arquen,knight
arquen,KNIGHT
arquen,Knight
arta¹,etcetera
arta¹,ETCETERA
arta¹,Etcetera
arya,excelling
arya,EXCELLING
arya,Excelling
arya,*better
arya,*BETTER
arya,*best [with definite article + genitive]
arya,*BEST [WITH DEFINITE ARTICLE + GENITIVE]
arya-,to excel
arya-,TO EXCEL
arya-,To excel
asa-,to be willing
asa-,TO BE WILLING
asa-,To be willing
asa-,agree
asa-,AGREE
asa-,Agree
aþa-,to be willing
aþa-,TO BE WILLING
aþa-,To be willing
aþa-,agree
aþa-,AGREE
aþa-,Agree
asalastë,easily heard
asalastë,EASILY HEARD
asalastë,Easily heard
asanótë,*easily counted
asanótë,*EASILY COUNTED
asar,fixed time
asar,FIXED TIME
asar,Fixed time
asar,festival
asar,FESTIVAL
asar,Festival
asarta,leech
asarta,LEECH
asarta,Leech
asarta,doctor
asarta,DOCTOR
asarta,Doctor
asar(o),doctor
asar(o),DOCTOR
asar(o),Doctor
asar(o),leech
asar(o),LEECH
asar(o),Leech
ascénima,visible
ascénima,VISIBLE
ascénima,Visible
ascénima,easily seen
ascénima,EASILY SEEN
ascénima,Easily seen
ascenë,visible
ascenë,VISIBLE
ascenë,Visible
ascenë,easily seen
ascenë,EASILY SEEN
ascenë,Easily seen
asëa,healing herb
asëa,HEALING HERB
asëa,Healing herb
asëa,athelas
asëa,ATHELAS
asëa,Athelas
asëa aranion,kingsfoil
asëa aranion,KINGSFOIL
asëa aranion,Kingsfoil
asëa aranion,asëa of the Kings
asëa aranion,asëa of the kings
asëa aranion,ASËA OF THE KINGS
asëa aranion,Asëa of the kings
asië,ease
asië,EASE
asië,Ease
asië,comfort
asië,COMFORT
asië,Comfort
asta,month; division
asta,MONTH; DIVISION
asta,Month; division
asta,part (esp. one of other equal parts)
asta,PART (ESP. ONE OF OTHER EQUAL PARTS)
asta,Part (esp. one of other equal parts)
asta-,to heat
asta-,TO HEAT
asta-,To heat
asta-,bake (by exposure to sun)
asta-,BAKE (BY EXPOSURE TO SUN)
asta-,Bake (by exposure to sun)
astalda,strong
astalda,STRONG
astalda,Strong
astalda,*valiant
astalda,*VALIANT
astar,faith
astar,FAITH
astar,Faith
astar,loyalty
astar,LOYALTY
astar,Loyalty
astarindo,bystander; supporter
astarindo,BYSTANDER; SUPPORTER
astarindo,Bystander; supporter
artarindo,bystander; supporter
artarindo,BYSTANDER; SUPPORTER
artarindo,Bystander; supporter
astarmo,bystander; witness
astarmo,BYSTANDER; WITNESS
astarmo,Bystander; witness
asumo,friend at need
asumo,FRIEND AT NEED
asumo,Friend at need
asumo,friend with shared interests
asumo,FRIEND WITH SHARED INTERESTS
asumo,Friend with shared interests
asumo,colleague
asumo,COLLEAGUE
asumo,Colleague
aþumo,friend at need
aþumo,FRIEND AT NEED
aþumo,Friend at need
aþumo,friend with shared interests
aþumo,FRIEND WITH SHARED INTERESTS
aþumo,Friend with shared interests
aþumo,colleague
aþumo,COLLEAGUE
aþumo,Colleague
asya-,to ease
asya-,TO EASE
asya-,To ease
asya-,assist
asya-,ASSIST
asya-,Assist
asya-,comfort
asya-,COMFORT
asya-,Comfort
ataformaitë,ambidextrous
ataformaitë,AMBIDEXTROUS
ataformaitë,Ambidextrous
atalantë,collapse
atalantë,COLLAPSE
atalantë,Collapse
atalantë,downfall
atalantë,DOWNFALL
atalantë,Downfall
atalantëa,ruinous
atalantëa,RUINOUS
atalantëa,Ruinous
atalantëa,downfallen
atalantëa,DOWNFALLEN
atalantëa,Downfallen
atamaitë,two-handed
atamaitë,TWO-HANDED
atamaitë,Two-handed
atamir,heirloom
atamir,HEIRLOOM
atamir,Heirloom
Atan,Man
Atan,man
Atan,MAN
Atan,(lit.) the Second (People)
Atan,(lit.) the second (people)
Atan,(LIT.) THE SECOND (PEOPLE)
Atan,(lit.) the second (people)
ataquanta-,*to refill
ataquanta-,*TO REFILL
ataquanta-,fill a second time
ataquanta-,FILL A SECOND TIME
ataquanta-,Fill a second time
ataquanta-,double fill
ataquanta-,DOUBLE FILL
ataquanta-,Double fill
atar¹,father
atar¹,FATHER
atar¹,Father
atartil,thumb [nursery rhymes]
atartil,THUMB [NURSERY RHYMES]
atartil,Thumb [nursery rhymes]
atatya,double
atatya,DOUBLE
atatya,Double
atto,daddy
atto,DADDY
atto,Daddy
atto,father (familiar/family)
atto,FATHER (FAMILIAR/FAMILY)
atto,Father (familiar/family)
atya¹,daddy
atya¹,DADDY
atya¹,Daddy
atya¹,(my) father
atya¹,(MY) FATHER
(a)taryo,daddy
(a)taryo,DADDY
(a)taryo,Daddy
atyo,*daddy
atyo,*DADDY
au¹,away
au¹,AWAY
au¹,Away
au¹,off
au¹,OFF
au¹,Off
au¹,not here (of position)
au¹,NOT HERE (OF POSITION)
au¹,Not here (of position)
au²,if only
au²,IF ONLY
au²,If only
aucir-,to cut off (and get rid of
aucir-,TO CUT OFF (AND GET RID OF
aucir-,To cut off (and get rid of
aucir-,lose a portion)
aucir-,LOSE A PORTION)
aucir-,Lose a portion)
aura,possession
aura,POSSESSION
aura,Possession
aura,thing owned
aura,THING OWNED
aura,Thing owned
aurë,day (as opposed to night)
aurë,DAY (AS OPPOSED TO NIGHT)
aurë,Day (as opposed to night)
aurë,daylight
aurë,DAYLIGHT
aurë,Daylight
aurë,sunlight
aurë,SUNLIGHT
aurë,Sunlight
aurë,morning
aurë,MORNING
aurë,Morning
ausa,dim shape
ausa,DIM SHAPE
ausa,Dim shape
ausa,spectral
ausa,SPECTRAL
ausa,Spectral
ausa,vague apparition
ausa,VAGUE APPARITION
ausa,Vague apparition
auta,ago
auta,AGO
auta,Ago
auta-¹,to go (away)
auta-¹,TO GO (AWAY)
auta-¹,To go (away)
auta-¹,depart
auta-¹,DEPART
auta-¹,Depart
auta-¹,leave; to pass away
auta-¹,LEAVE; TO PASS AWAY
auta-¹,Leave; to pass away
auta-¹,disappear
auta-¹,DISAPPEAR
auta-¹,Disappear
auta-¹,be lost
auta-¹,BE LOST
auta-¹,Be lost
ava-³,to depart
ava-³,TO DEPART
ava-³,To depart
ava-³,go away
ava-³,GO AWAY
ava-³,Go away
ava-³,disappear
ava-³,DISAPPEAR
ava-³,Disappear
ava-³,be lost
ava-³,BE LOST
ava-³,Be lost
autas,a former occur[rence]
autas,A FORMER OCCUR[RENCE]
autas,A former occur[rence]
auvië,possession (abstract)
auvië,POSSESSION (ABSTRACT)
auvië,Possession (abstract)
auvië,*the act of possessing
auvië,*THE ACT OF POSSESSING
ava-¹,to refuse
ava-¹,TO REFUSE
ava-¹,To refuse
ava-¹,forbid
ava-¹,FORBID
ava-¹,Forbid
avalatya-,*to refuse to open
avalatya-,*TO REFUSE TO OPEN
avalda,move[d]
avalda,MOVE[D]
avalda,Move[d]
avalda,stirred
avalda,STIRRED
avalda,Stirred
avalda,excited
avalda,EXCITED
avalda,Excited
avalerya-,to restrain
avalerya-,TO RESTRAIN
avalerya-,To restrain
avalerya-,to deprive of liberty
avalerya-,TO DEPRIVE OF LIBERTY
avalerya-,To deprive of liberty
avanir,unwill
avanir,UNWILL
avanir,Unwill
avanwa,refused
avanwa,REFUSED
avanwa,Refused
avanwa,forbidden
avanwa,FORBIDDEN
avanwa,Forbidden
avanwa,banned
avanwa,BANNED
avanwa,Banned
avanyárima,unspeakable
avanyárima,UNSPEAKABLE
avanyárima,Unspeakable
avanyárima,what one must not tell
avanyárima,WHAT ONE MUST NOT TELL
avanyárima,What one must not tell
avanyárima,not to be told
avanyárima,NOT TO BE TOLD
avanyárima,Not to be told
avanyárima,related
avanyárima,RELATED
avanyárima,Related
avaquétima,not to be said
avaquétima,NOT TO BE SAID
avaquétima,Not to be said
avaquétima,that must not be said
avaquétima,THAT MUST NOT BE SAID
avaquétima,That must not be said
avatyar-,*to forgive
avatyar-,*TO FORGIVE
avatyar-,(lit.) do away with
avatyar-,(LIT.) DO AWAY WITH
axan,law
axan,LAW
axan,Law
axan,rule
axan,RULE
axan,Rule
axan,commandment
axan,COMMANDMENT
axan,Commandment
axë,neck (vertebrae)
axë,NECK (VERTEBRAE)
axë,Neck (vertebrae)
axë,rock ridge
axë,ROCK RIDGE
axë,Rock ridge
acas,neck
acas,NECK
acas,Neck
axo²,neck
axo²,NECK
axo²,Neck
axo¹,bone
axo¹,BONE
axo¹,Bone
áya,awe
áya,AWE
áya,Awe
caita-¹,to lie (down)
caita-¹,TO LIE (DOWN)
caita-¹,To lie (down)
caita-²,*to lay (something down)
caita-²,*TO LAY (SOMETHING DOWN)
cal-,to shine
cal-,TO SHINE
cal-,To shine
cala,light
cala,LIGHT
cala,Light
calambar,*light-fated
calambar,*LIGHT-FATED
calar,lamp
calar,LAMP
calar,Lamp
calarus,polished copper
calarus,POLISHED COPPER
calarus,Polished copper
calca,glass
calca,GLASS
calca,Glass
cilin,glass
cilin,GLASS
cilin,Glass
cálë,light
cálë,LIGHT
cálë,Light
calima,bright
calima,BRIGHT
calima,Bright
calima,luminous
calima,LUMINOUS
calima,Luminous
calina,light
calina,LIGHT
calina,Light
calina,bright
calina,BRIGHT
calina,Bright
calina,sunny
calina,SUNNY
calina,Sunny
calina,(lit.) illumined
calina,(LIT.) ILLUMINED
calma,lamp
calma,LAMP
calma,Lamp
calma,(device for shining) light
calma,(DEVICE FOR SHINING) LIGHT
calmatan,lampwright
calmatan,LAMPWRIGHT
calmatan,Lampwright
calmatéma,k-series
calmatéma,K-SERIES
calmatéma,K-series
calta-,to kindle
calta-,TO KINDLE
calta-,To kindle
camba,(cupped) hand
camba,(CUPPED) HAND
camba,hollow of the hand
camba,HOLLOW OF THE HAND
camba,Hollow of the hand
cambë,hand
cambë,HAND
cambë,Hand
cáno,commander
cáno,COMMANDER
cáno,Commander
cáno,chief(tain)
cáno,CHIEF(TAIN)
cáno,Chief(tain)
cáno,ruler
cáno,RULER
cáno,Ruler
cáno,governor; †crier
cáno,GOVERNOR; †CRIER
cáno,Governor; †crier
cáno,herald
cáno,HERALD
cáno,Herald
canta-,?
canta²,shape
canta²,SHAPE
canta²,Shape
canta²,framework
canta²,FRAMEWORK
canta²,Framework
cantaro,shaper
cantaro,SHAPER
cantaro,Shaper
cantië,pattern
cantië,PATTERN
cantië,Pattern
canwa¹,announcement
canwa¹,ANNOUNCEMENT
canwa¹,Announcement
canwa¹,order
canwa¹,ORDER
canwa¹,Order
canya-,?to command
canya-,?TO COMMAND
car-,to do
car-,TO DO
car-,To do
car-,make
car-,MAKE
car-,Make
caraitë,active
caraitë,ACTIVE
caraitë,Active
caraitë,busy
caraitë,BUSY
caraitë,Busy
caraitië,activity
caraitië,ACTIVITY
caraitië,Activity
caraitië,business
caraitië,BUSINESS
caraitië,Business
carassë,built fort
carassë,BUILT FORT
carassë,Built fort
carassë,dwelling surrounded by bulwarks
carassë,DWELLING SURROUNDED BY BULWARKS
carassë,Dwelling surrounded by bulwarks
carasta-,to build
carasta-,TO BUILD
carasta-,To build
caraxë,*jagged hedge of spikes
caraxë,*JAGGED HEDGE OF SPIKES
carca,fang; [sharp] rock
carca,FANG; [SHARP] ROCK
carca,Fang; [sharp] rock
carda,deed
carda,DEED
carda,Deed
carma³,deed
carma³,DEED
carma³,Deed
carië,doing
carië,DOING
carië,Doing
carië,making
carië,MAKING
carië,Making
cárima,feasible
cárima,FEASIBLE
cárima,Feasible
cárima,possible (to do)
cárima,POSSIBLE (TO DO)
cárima,Possible (to do)
cárima,able to be done
cárima,ABLE TO BE DONE
cárima,Able to be done
carina,done
carina,DONE
carina,Done
carma¹,helm
carma¹,HELM
carma¹,Helm
carma²,tool
carma²,TOOL
carma²,Tool
carma²,implement
carma²,IMPLEMENT
carma²,Implement
carma²,means
carma²,MEANS
carma²,Means
carma²,weapon
carma²,WEAPON
carma²,Weapon
carmë,production
carmë,PRODUCTION
carmë,Production
carmë,making; structure; art
carmë,MAKING; STRUCTURE; ART
carmë,Making; structure; art
carnë,red
carnë,RED
carnë,Red
carnë,scarlet
carnë,SCARLET
carnë,Scarlet
carpa,(entire) mouth; phonetic system
carpa,(ENTIRE) MOUTH; PHONETIC SYSTEM
